City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
760,Tautira,PF,80.11,few clouds,-17.7333,-149.15,Pension Oaoa
761,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
765,Garowe,SO,77.22,light rain,8.4054,48.4845,Curubo Hotel
772,Soe,ID,80.44,few clouds,-9.8607,124.284,Dena Hotel
784,Ruwi,OM,85.51,clear sky,23.5996,58.5507,Al Falaj Hotel
796,Emerald,AU,80.35,few clouds,-23.5333,148.1667,The Irish Village
797,Yenagoa,NG,76.26,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
798,Moranbah,AU,80.28,scattered clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
801,Aswan,EG,81.23,clear sky,24.0934,32.907,Nuba Nile
805,Fare,PF,80.98,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
816,Minuri,PH,88.32,broken clouds,16.535,121.8574,
823,Gboko,NG,78.69,light rain,7.3179,8.9951,Mavillah Apartment and Suites
824,San Juan Evangelista,MX,84.2,broken clouds,17.9,-95.1333,Salon INAPAM San Juan Evangelista
825,Nam Som,TH,83.5,overcast clouds,17.7704,102.1895,โรงแรมวุฒิโชค น้ำโสม ที่พักไกล้วัดป่าภูก้อน ราคา 500฿
832,Muttupet,IN,87.58,scattered clouds,10.4,79.4833,Hotel Star Residency
837,Pringsewu,ID,82.67,overcast clouds,-5.3582,104.9744,Urban Style by Front One
839,Dawlatabad,AF,79.7,overcast clouds,36.4141,64.9053,WASIM ASGAR KHAN
848,Dingle,PH,85.95,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
849,Kutum,SD,76.91,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
850,Wamba,NG,77.38,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
852,Tadepalle,IN,83.73,scattered clouds,16.4833,80.6,Hotel Southern Grand
858,Acarau,BR,77.34,broken clouds,-2.8856,-40.12,castelo pizzaria
861,Miramar,US,78.03,thunderstorm,25.9873,-80.2323,Stadium Hotel
862,Bilma,NE,88.93,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
863,Chabahar,IR,86.11,overcast clouds,25.2919,60.643,هتل گدروشیا
865,Kailua,US,82.38,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
871,Bambanglipuro,ID,83.8,overcast clouds,-7.95,110.2833,Puri Brata
879,Bac Lieu,VN,85.93,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
881,Nong Kung Si,TH,85.57,broken clouds,16.65,103.3,บ้าน พี่บิ๊ก
885,Tuy Hoa,VN,85.21,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
887,Zaraza,VE,82.98,overcast clouds,9.3503,-65.3245,Hotel Zaraza
897,Tonj,SS,76.42,broken clouds,7.2737,28.6822,Lakan Hotel
898,Benguela,AO,76.86,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
904,Harnai,PK,85.19,few clouds,30.1005,67.9374,Shah g hotel and restaurant
910,Puerto Madero,MX,82.6,broken clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
911,Amahai,ID,85.33,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
912,Gaoual,GN,83.43,broken clouds,11.75,-13.2,Hotel koliba
914,Mulatupo,PA,77.67,overcast clouds,8.9492,-77.7652,Playa Dil
921,Nogales,MX,80.17,clear sky,31.3086,-110.9422,Siesta Motel
923,Chihuahua,MX,79.63,overcast clouds,28.5,-106.0,
924,Ontario,US,78.42,few clouds,34.0633,-117.6509,Capri Motel
931,Doha,QA,76.98,clear sky,25.2867,51.5333,Movenpick Hotel Doha
932,Newport Beach,US,75.78,clear sky,33.6189,-117.9289,"Holiday Inn Express Newport Beach, an IHG Hotel"
936,Pemangkat,ID,84.97,broken clouds,1.1667,108.9667,Ramah Kost KITA
945,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
947,La Asuncion,VE,79.2,broken clouds,11.0333,-63.8628,Colinas de Matasiete
958,Charters Towers,AU,82.4,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
961,Veraval,IN,83.05,clear sky,20.9,70.3667,Lords Inn Somnath
966,Mitsamiouli,KM,78.28,moderate rain,-11.3847,43.2844,Foyer ADM
970,Pasni,PK,84.16,overcast clouds,25.2631,63.471,Kashmiri Hotal
973,Sangin,AF,81.43,clear sky,32.0728,64.8359,
975,Matara,LK,81.81,light rain,5.9485,80.5353,Amaloh Boutique Resort
977,Tabuk,PH,86.79,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
981,Salinopolis,BR,76.77,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
984,Sabla,NG,86.32,overcast clouds,12.7525,4.7077,
987,Ca Mau,VN,87.03,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
996,Road Town,VG,77.09,light rain,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
997,Ures,MX,82.2,overcast clouds,29.4333,-110.4,Hacienda Quinta Napoles
1000,Vung Tau,VN,82.26,overcast clouds,10.346,107.0843,Seaside Resort
1003,Harindanga,IN,86.22,broken clouds,22.0383,88.3214,Hasanur Builders
1006,Bairiki,KI,86.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
1008,Payo,ID,81.05,overcast clouds,-3.7508,103.6372,Mess keban agung
1010,Sarangani,PH,81.59,moderate rain,5.4033,125.4636,Ballistic Islet
1011,Kamoke,PK,88.43,clear sky,31.9744,74.2244,Chishti HOUSE
1012,Banfora,BF,82.83,overcast clouds,10.6333,-4.7667,Residences David Hebié
1018,Luanda,AO,77.0,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
1019,Latung,PH,82.87,overcast clouds,5.5,120.8833,
1020,Hervey Bay,AU,76.01,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
1022,Kieta,PG,84.36,light rain,-6.2167,155.6333,Uruna Bay Retreat
1023,Puerto Carreno,CO,75.45,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
1028,Sri Aman,MY,82.72,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
1040,Port Moresby,PG,85.28,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
1043,Pyapon,MM,87.17,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
1046,Kalmunai,LK,82.38,broken clouds,7.4167,81.8167,VS Villa
1055,Buraydah,SA,77.4,clear sky,26.326,43.975,Mövenpick Qassim
1057,Nioro,GM,79.11,broken clouds,13.35,-15.75,
1060,Hambantota,LK,82.06,moderate rain,6.1241,81.1185,Bungalow 63
1068,Laredo,US,84.49,broken clouds,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
1071,Caucaia,BR,82.35,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
1072,Adre,TD,79.99,overcast clouds,13.4667,22.2,
1075,Vaitape,PF,81.21,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
1090,Morro Bay,US,76.19,clear sky,35.3658,-120.8499,Inn at Morro Bay
1093,Truth Or Consequences,US,79.03,clear sky,33.1284,-107.2528,Charles Motel
1110,Hoi An,VN,84.16,overcast clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
1111,Maiduguri,NG,85.23,overcast clouds,11.8464,13.1603,Kagel Mari Police Station
1114,Djougou,BJ,75.63,overcast clouds,9.7085,1.666,Hotel cathas
1117,Mangrol,IN,83.12,clear sky,21.1167,70.1167,Hotel The Royal Honours
1123,Bubaque,GW,76.98,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
1126,Khammam,IN,87.8,few clouds,17.25,80.15,Hotel Vishnu Residency
1129,Trat,TH,86.88,light rain,12.5,102.5,สวนหนิง-อัศ
1131,Bida,NG,82.42,few clouds,9.0833,6.0167,Royal Suite
1141,Culiacan,MX,78.15,broken clouds,24.7994,-107.3897,Hotel Lucerna Culiacán
1147,Estelle,US,78.78,scattered clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
1155,Dzilam Gonzalez,MX,75.4,scattered clouds,21.2833,-88.9333,posadas
1171,Sampit,ID,86.99,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
