City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Husavik,IS,2022-04-24 02:19:28,66.0449,-17.3389,43.84,77,90,5.61
123,Sa Kaeo,TH,2022-04-24 02:19:29,13.75,102.3333,88.0,60,9,7.36
124,Hokitika,NZ,2022-04-24 02:19:29,-42.7167,170.9667,59.16,77,74,15.1
125,Flinders,AU,2022-04-24 02:16:28,-34.5833,150.8552,71.19,74,24,4.0
126,La Ronge,CA,2022-04-24 02:19:30,55.1001,-105.2842,46.65,36,20,1.14
127,Berlevag,NO,2022-04-24 02:19:30,70.8578,29.0864,39.0,96,100,15.79
128,Tuktoyaktuk,CA,2022-04-24 02:19:30,69.4541,-133.0374,28.4,74,0,4.61
129,Ponta Delgada,PT,2022-04-24 02:19:31,37.7333,-25.6667,56.5,76,20,11.5
130,Batticaloa,LK,2022-04-24 02:19:31,7.7102,81.6924,80.85,79,57,6.55
131,Novyy Urengoy,RU,2022-04-24 02:19:31,66.0833,76.6333,0.61,98,88,6.82
132,Guerrero Negro,MX,2022-04-24 02:19:32,27.9769,-114.0611,59.77,76,0,19.22
133,Gayny,RU,2022-04-24 02:19:32,60.3071,54.3241,33.13,94,99,3.24
134,Bilibino,RU,2022-04-24 02:19:33,68.0546,166.4372,19.22,77,95,2.08
135,Havoysund,NO,2022-04-24 02:19:33,70.9963,24.6622,39.43,95,100,25.61
136,Ornskoldsvik,SE,2022-04-24 02:19:33,63.2909,18.7153,32.95,80,75,3.44
137,Sur,OM,2022-04-24 02:20:34,22.5667,59.5289,82.49,50,51,10.6
138,Kralendijk,BQ,2022-04-24 02:20:34,12.15,-68.2667,78.78,83,75,9.22
139,Asamankese,GH,2022-04-24 02:20:34,5.8601,-0.6635,76.24,96,70,2.39
140,Tateyama,JP,2022-04-24 02:20:35,34.9833,139.8667,66.13,88,100,10.89
141,Paralimni,CY,2022-04-24 02:20:35,35.0375,33.9833,74.28,35,31,8.01
142,Bengkulu,ID,2022-04-24 02:20:36,-3.8004,102.2655,77.0,85,100,3.24
143,Jiangyou,CN,2022-04-24 02:20:36,31.7667,104.7167,73.35,76,59,13.98
144,Homer,US,2022-04-24 02:20:37,59.6425,-151.5483,47.77,68,100,5.01
145,Deer Lake,CA,2022-04-24 02:20:37,49.1667,-57.4316,33.66,100,100,0.0
146,Tasiilaq,GL,2022-04-24 02:20:37,65.6145,-37.6368,35.76,89,91,7.52
147,Kot Addu,PK,2022-04-24 02:20:38,30.4692,70.9671,82.51,25,56,6.02
148,Point Fortin,TT,2022-04-24 02:20:38,10.1833,-61.6833,76.86,73,2,12.86
149,Liwale,TZ,2022-04-24 02:20:38,-9.7667,37.9333,68.09,98,95,1.43
150,Georgetown,MY,2022-04-24 02:17:54,5.4112,100.3354,85.95,79,20,5.75
151,Burnie,AU,2022-04-24 02:20:39,-41.0667,145.9167,60.48,59,13,4.38
152,Qaqortoq,GL,2022-04-24 02:20:39,60.7167,-46.0333,35.8,99,100,4.29
153,San Patricio,US,2022-04-24 02:20:39,28.017,-97.5169,77.09,73,98,16.51
154,Alta Floresta,BR,2022-04-24 02:20:40,-9.8756,-56.0861,71.87,96,100,2.08
155,Lavrentiya,RU,2022-04-24 02:20:40,65.5833,-171.0,30.45,77,100,1.66
156,Touros,BR,2022-04-24 02:20:40,-5.1989,-35.4608,76.41,89,100,7.72
157,Kavaratti,IN,2022-04-24 02:20:41,10.5669,72.642,84.33,70,95,3.6
158,Cedar City,US,2022-04-24 02:20:41,37.6775,-113.0619,45.57,34,0,10.36
159,Nuuk,GL,2022-04-24 02:20:42,64.1835,-51.7216,32.61,93,75,20.71
160,Kytmanovo,RU,2022-04-24 02:20:42,53.4593,85.4479,33.57,59,95,10.16
161,Merauke,ID,2022-04-24 02:16:06,-8.4667,140.3333,85.6,67,73,3.44
162,Ferkessedougou,CI,2022-04-24 02:20:42,9.6,-5.2,77.61,69,100,3.91
163,Prince Rupert,CA,2022-04-24 02:19:17,54.3161,-130.3201,44.69,81,100,33.38
164,Bumba,CD,2022-04-24 02:20:43,2.1833,22.4667,71.69,97,100,4.47
165,San Julian,MX,2022-04-24 02:20:43,21.0167,-102.1667,73.08,16,2,7.92
166,Broome,US,2022-04-24 02:20:44,42.2506,-75.833,54.7,67,75,4.61
167,Zhirnovsk,RU,2022-04-24 02:20:44,50.9845,44.7735,46.94,86,36,5.64
168,Adrar,MR,2022-04-24 02:20:45,20.5022,-10.0711,69.85,31,0,10.96
169,Lerwick,GB,2022-04-24 02:20:45,60.1545,-1.1494,44.6,77,93,14.56
170,Petrozavodsk,RU,2022-04-24 02:20:45,61.7849,34.3469,33.26,80,100,6.71
171,Castro,BR,2022-04-24 02:20:46,-24.7911,-50.0119,63.64,86,100,2.62
172,Khambhaliya,IN,2022-04-24 02:20:46,22.2072,69.6683,80.38,72,0,10.25
173,Thompson,CA,2022-04-24 02:17:57,55.7435,-97.8558,39.36,52,40,17.27
