City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
122,Roald,NO,62.5833,6.1333,41.76,100,58,4.61,broken clouds
123,Kiunga,PG,-6.1219,141.2906,89.64,58,99,2.46,overcast clouds
124,Atar,MR,20.5169,-13.0499,78.31,16,85,5.19,overcast clouds
125,Fairbanks,US,64.8378,-147.7164,54.99,27,0,18.41,clear sky
126,Chimbote,PE,-9.0853,-78.5783,64.85,91,100,7.23,overcast clouds
127,Inirida,CO,3.8653,-67.9239,71.11,99,73,2.71,broken clouds
128,Nanortalik,GL,60.1432,-45.2371,35.42,93,100,7.38,overcast clouds
129,Srednekolymsk,RU,67.45,153.6833,29.28,87,15,5.19,few clouds
130,San Quintin,MX,30.4833,-115.95,61.41,79,100,8.95,overcast clouds
131,Kholodnyy,RU,62.7167,147.95,31.48,96,91,2.51,overcast clouds
132,Ahuimanu,US,21.4447,-157.8378,82.11,69,40,19.57,scattered clouds
133,Katsuura,JP,35.1333,140.3,61.77,71,100,18.63,light rain
134,Cabedelo,BR,-6.9811,-34.8339,77.67,76,98,11.59,overcast clouds
135,Hue,VN,16.4667,107.6,80.71,89,75,5.75,broken clouds
136,Guerrero Negro,MX,27.9769,-114.0611,60.87,82,98,17.29,overcast clouds
137,Angoche,MZ,-16.2325,39.9086,71.01,92,21,8.39,few clouds
138,Jalu,LY,29.0331,21.5482,74.41,21,98,7.61,overcast clouds
139,Tiksi,RU,71.6872,128.8694,33.76,94,100,10.58,overcast clouds
140,Umm Kaddadah,SD,13.6017,26.6876,79.95,11,76,5.32,broken clouds
141,Nishihara,JP,26.1842,127.7558,69.85,91,100,16.11,drizzle
142,Bay Roberts,CA,47.5999,-53.2648,43.66,96,100,1.01,light rain
143,San Patricio,US,28.017,-97.5169,79.9,81,1,10.38,clear sky
144,Komsomolskiy,UZ,40.4272,71.7189,68.72,56,6,4.61,clear sky
145,Jamestown,US,42.097,-79.2353,55.04,32,0,10.36,clear sky
146,Concordia,AR,-31.393,-58.0209,55.78,88,88,3.0,overcast clouds
147,Lebu,CL,-37.6167,-73.65,49.32,81,12,12.8,few clouds
148,Ahvaz,IR,31.3203,48.6693,75.15,60,0,2.3,clear sky
149,Pisco,PE,-13.7,-76.2167,65.01,82,0,16.11,clear sky
150,San Jeronimo,PE,-11.9472,-75.2829,50.0,77,88,1.34,overcast clouds
151,Dikson,RU,73.5069,80.5464,17.58,93,100,16.02,overcast clouds
152,Qasigiannguit,GL,68.8193,-51.1922,17.85,85,2,6.55,clear sky
153,Ellisras,ZA,-23.6649,27.7443,61.63,54,21,5.48,few clouds
154,Miraflores,MX,19.2167,-98.8083,74.03,48,80,2.64,broken clouds
155,Ostersund,SE,63.1792,14.6357,34.25,93,100,8.05,overcast clouds
156,Khani,GE,41.9563,42.9566,44.17,99,88,1.61,overcast clouds
157,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,35,6.51,scattered clouds
158,Excelsior Springs,US,39.3392,-94.2261,58.71,63,100,8.05,overcast clouds
159,Kruisfontein,ZA,-34.0033,24.7314,49.89,77,65,7.25,broken clouds
160,Mount Gambier,AU,-37.8333,140.7667,64.31,77,75,16.11,broken clouds
161,Longyearbyen,SJ,78.2186,15.6401,12.04,57,0,4.61,clear sky
162,Arraial Do Cabo,BR,-22.9661,-42.0278,73.6,86,95,10.04,overcast clouds
163,Yellowknife,CA,62.456,-114.3525,36.12,51,0,10.36,clear sky
164,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,40,8.05,scattered clouds
165,Narsaq,GL,60.9167,-46.05,44.82,74,19,2.98,few clouds
166,Atherton,GB,53.5237,-2.4935,48.88,92,100,1.01,light rain
167,Guangyuan,CN,32.442,105.823,61.03,40,100,4.7,overcast clouds
168,Volodarskiy,RU,46.4013,48.5409,49.98,57,7,9.04,clear sky
169,Yar-Sale,RU,66.8333,70.8333,17.82,84,82,10.51,broken clouds
170,Honolulu,US,21.3069,-157.8583,82.22,68,75,19.57,broken clouds
171,Georgetown,MY,5.4112,100.3354,84.15,80,20,3.44,few clouds
172,Katangli,RU,51.7102,143.2326,32.58,99,100,2.57,overcast clouds
173,Santa Rosa,PH,14.3122,121.1114,91.11,67,59,10.89,broken clouds
174,Iquitos,PE,-3.7481,-73.2472,75.24,100,0,2.3,clear sky
175,Dmitriyevskaya,RU,45.6564,40.7653,52.41,81,100,11.48,overcast clouds
176,Capao Da Canoa,BR,-29.7456,-50.0097,62.24,93,100,5.55,light rain
177,Port Elizabeth,ZA,-33.918,25.5701,61.32,69,0,10.36,clear sky
178,Pevek,RU,69.7008,170.3133,13.17,85,86,6.08,overcast clouds
179,Luba,GQ,3.4568,8.5547,76.89,82,98,1.45,overcast clouds
180,Samarai,PG,-10.6167,150.6667,82.17,74,81,8.23,broken clouds
